bookid,username,opentime,closetime,hotspotName,hotspotType,clickResult,clickTime,remarks
2,001,2020-09-15 19:44:31,\N,q18_nextButton,next_button,,2020-09-15 20:02:53,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p1_nextButton,next_button,,2020-10-03 16:33:05,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p1_nextButton,next_button,,2020-10-03 16:33:06,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p1_nextButton,next_button,,2020-10-03 16:33:07,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p2_butterfly,vocabulary,,2020-10-03 16:33:31,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p2_takes a deep stretch,vocabulary,,2020-10-03 16:33:33,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p2_takes a deep stretch,vocabulary,,2020-10-03 16:33:34,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p2_nextButton,next_button,,2020-10-03 16:33:45,\N
1,002,2020-10-03 16:32:46,2020-10-03 16:34:24,p3_nextButton,next_button,,2020-10-03 16:33:50,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p1_nextButton,next_button,,2020-09-24 19:14:59,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p1_nextButton,next_button,,2020-09-24 19:15:02,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p2_nextButton,next_button,,2020-09-24 19:15:05,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p3_nextButton,next_button,,2020-09-24 19:15:16,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p4_nextButton,next_button,,2020-09-24 19:15:24,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p5_nextButton,next_button,,2020-09-24 19:15:31,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p6_nextButton,next_button,,2020-09-24 19:15:59,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p7_nextButton,next_button,,2020-09-24 19:16:11,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p8_nextButton,next_button,,2020-09-24 19:16:36,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p9_nextButton,next_button,,2020-09-24 19:16:55,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p10_nextButton,next_button,,2020-09-24 19:17:25,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p11_nextButton,next_button,,2020-09-24 19:17:35,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p12_nextButton,next_button,,2020-09-24 19:18:07,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p13_nextButton,next_button,,2020-09-24 19:18:10,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p13_nextButton,next_button,,2020-09-24 19:18:18,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p14_nextButton,next_button,,2020-09-24 19:18:27,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p15_nextButton,next_button,,2020-09-24 19:18:34,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p16_nextButton,next_button,,2020-09-24 19:18:41,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p16_nextButton,next_button,,2020-09-24 19:18:59,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p17_nextButton,next_button,,2020-09-24 19:19:05,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p17_nextButton,next_button,,2020-09-24 19:19:08,\N
0,003,2020-09-24 19:14:44,2020-09-24 19:19:10,p18_nextButton,next_button,,2020-09-24 19:19:10,\N
0,003,2020-10-03 16:34:37,2020-10-03 16:35:19,p1_nextButton,next_button,,2020-10-03 16:35:00,\N
0,003,2020-10-03 16:34:37,2020-10-03 16:35:19,p1_quote_button_flower,quotes,,2020-10-03 16:35:01,\N
0,003,2020-10-03 16:34:37,2020-10-03 16:35:19,p1_nextButton,next_button,,2020-10-03 16:35:02,\N
1,003,2020-10-09 20:35:04,\N,p1_nextButton,next_button,,2020-10-09 20:35:45,\N
1,003,2020-10-09 20:35:04,\N,p1_quote_button_ladybug,quotes,,2020-10-09 20:35:49,\N
1,003,2020-10-09 20:35:04,\N,p1_quote_button_ladybug,quotes,,2020-10-09 20:35:55,\N
1,003,2020-10-09 20:35:04,\N,p1_quote_button_flower,quotes,,2020-10-09 20:36:00,\N
1,003,2020-10-09 20:35:04,\N,p1_quote_button_oakleaf,quotes,,2020-10-09 20:36:07,\N
1,003,2020-10-11 07:51:16,\N,p1_quote_button_oakleaf,quotes,,2020-10-11 07:51:47,\N
1,003,2020-10-11 07:51:16,\N,p1_quote_button_oakleaf,quotes,,2020-10-11 07:51:59,\N
1,003,2020-10-11 07:51:16,\N,p1_quote_button_ladybug,quotes,,2020-10-11 07:52:04,\N
